Year,Coach,Last Name,First Name,Phone,Apple,Apple Crumb,Blueberry,Cherry,Strawberry Rhubarb,Summer Berry,Pumpkin,Total pies,Pecan,Black Bottom Pecan,Chicken Pot Pie,total expensive pies,Banana,Cran-Orange Pecan,Lemon Blueberry,Sour Cream Cinnam Bread,total breads,Lemon Pound Cake $12,lemon cake,Total Items Ordered,Money owed for  PIES and pastries,Apple Cinnamon,Cherry Chocolate,Cranberry Nut,Honey Maple,Nutty,Vanilla Almond,total large granola,sm Cranberry Nut,sm Honey Maple,sm Nutty,sm Vanilla Almond,Total Granola Ordered,Money owed for GRANOLA,TOTAL MONEY RECEIVED BY ROWER,
2019,HPG,Whimsey,Josephine,555-555-5555,3,4,,,1,1,1,10,1,,4,5,,,3,1,4,2,,21,$389.00,3,18,2,,11,5,39,0,2,0,6,8,$550.00,$872.00,102
2019,HPG,O'Ryan,Merel,555-555-5555,,5,,,2,,,7,1,1,2,4,,1,1,1,3,,,14,$270.00,3,,3,2,1,,9,,,,,0,$90.00,$360.00,0
2019,JVB,Pittance,Grant,555-555-5555,0,6,,2,,,,8,,,4,4,,,,,0,4,,16,$308.00,,1,,1,,2,4,1,2,2,,5,$140.00,$448.00,0
2019,HPG,Daivs,Ellie,555-555-5555,1,1,,1,1,,2,6,,,1,1,,,,,0,,,7,$145.00,7,6,1,,,1,15,,,,,0,$150.00,$295.00,0
2019,JVG,Foucher,Kadence,555-555-5555,4,3,1,0,0,3,7,18,4,1,6,11,3,1,4,3,11,4,,44,$793.00,0,3,2,2,3,2,12,1,1,,1,3,$180.00,"$1,003.00",0
2019,HPG,Lovely,Britney,555-555-5555,1,3,1,1,1,,1,8,,2,3,5,,,,,0,,,13,$285.00,,,,,,,0,,,,,0,$ -,$305.00,0
2019,HPG,Mansion,Jax,555-555-5555,1,8,,1,4,1,5,20,2,2,4,8,3,,2,5,10,3,,41,$736.00,3,7,3,7,8,7,35,,,,,0,$350.00,"$1,086.00",0
2019,HPG,O'Myron,Jillian,555-555-5555,3,,,1,1,1,1,7,1,,2,3,2,1,2,2,7,2,,19,$309.00,,,,,,,0,,,,,0,$ -,$309.00,0
2019,HPG,Plummage,Lily,555-555-5555,,2,,2,3,1,1,9,1,,2,3,,,,,0,,,12,$255.00,,,,,,,0,,,,,0,$ -,$255.00,0
2019,HPG,Pritcchi,Holly,555-555-5555,0,3,4,0,1,0,3,11,0,1,0,1,2,0,4,3,9,1,,22,$347.00,,,1,,,,1,,,,,0,$10.00,$357.00,0
2019,HPG,Zeitz,Lexy,555-555-5555,,,,,,,2,2,,1,,1,,,1,1,2,1,,6,$97.00,2,,2,2,,2,8,,,,,0,$80.00,$180.00,0
2019,HPG,Stillness,Kaitlyn,555-555-5555,,7,1,,1,,2,11,1,,5,6,,1,2,4,7,3,,27,$476.00,,9,,6,,7,22,,,,,0,$220.00,$696.00,0
2019,JVB,Simon,Leyton,555-555-5555,,1,1,3,,,,5,,,,0,,,,,0,2,,7,$124.00,,,,,,,0,,,,,0,$ -,$212.00,0
2019,HPG,Tongusan,Ava,555-555-5555,,2,,3,,,,5,,,,0,,,,,0,2,,7,$124.00,,,,,,,0,,,,,0,$ -,$212.00,0
2019,HPB,Tongusan,Tre,555-555-5555,1,,,,,3,1,5,,,,0,,,,,0,2,,7,$124.00,,,,,,,0,,,,,0,$ -,$212.00,0
2019,HPG,Strenk,Denise,555-555-5555,,1,1,1,,,2,5,,,,0,,,,,0,,,5,$100.00,,,,,,,0,,,,,0,$ -,$100.00,0
2019,HPG,Fullsonme,Julia/Claire,555-555-5555,,1,2,,2,,,5,,1,9,10,3,,1,,4,5,,24,$450.00,,1,,,,,1,,,,2,2,$50.00,$500.00,0
2019,HPG,Goodkind,Sadie,555-555-5555,,,,,,,,0,,,,0,,,,,0,,,0,$ -,,,,,,,0,,,,,0,$ -,$150.00,0
2019,HPG,Goodkind,Tess,555-555-5555,1,,,,2,1,3,7,,,1,1,,,,,0,,,8,$165.00,4,11,1,,,,16,,,,,0,$160.00,$325.00,0
2019,HPG,Smith,Shelby,555-555-5555,1,1,1,1,1,1,1,7,1,1,2,4,1,1,1,1,4,1,,16,$292.00,,,,,,,0,,,,,0,$ -,$300.00,0
