location,lastName,firstName,phone,date,urgent,saline_bags,iv_supplies,tape,gauze, bandages_2x2,bandages_4x4,bandages_6x9,benznidazole,aspirin,gluscose,albuterol,Fexinidazole,rifampicin,ASMQ,NECT
Syria,Whimsey,Josephine,555-555-5555,,true,,4,,,1,1,1,1,,4,,,3,1,2
Syria,O'Ryan,Merel,555-555-5555,,true,,5,,,2,,,1,1,2,,1,1,1,
Sudan,Pittance,Grant,555-555-5555,,true,0,6,,2,,,,,,4,,,,,4
Syria,Daivs,Ellie,555-555-5555,,true,1,1,,1,1,,2,,,1,,,,,
Venezuela,Foucher,Kadence,555-555-5555,,true,4,3,1,0,0,3,7,4,1,6,3,1,4,3,4
Syria,Lovely,Britney,555-555-5555,,true,1,3,1,1,1,,1,,2,3,,,,,
Syria,Mansion,Jax,555-555-5555,,true,1,8,,1,4,1,5,2,2,4,3,,2,5,3
Syria,O'Myron,Jillian,555-555-5555,,true,3,,,1,1,1,1,1,,2,2,1,2,2,2
Syria,Plummage,Lily,555-555-5555,,true,,2,,2,3,1,1,1,,2,,,,,
Syria,Pritcchi,Holly,555-555-5555,,true,0,3,4,0,1,0,3,0,1,0,2,0,4,3,1
Syria,Zeitz,Lexy,555-555-5555,,true,,,,,,,2,,1,,,,1,1,1
Syria,Stillness,Kaitlyn,555-555-5555,,true,,7,1,,1,,2,1,,5,,1,2,4,3
Sudan,Simon,Leyton,555-555-5555,,true,,1,1,3,,,,,,,,,,,2
Syria,Tongusan,Ava,555-555-5555,,true,,2,,3,,,,,,,,,,,2
Malaysia,Tongusan,Tre,555-555-5555,,true,1,,,,,3,1,,,,,,,,2
Syria,Strenk,Denise,555-555-5555,,true,,1,1,1,,,2,,,,,,,,
Syria,Fullsonme,Julia/Claire,555-555-5555,,true,,1,2,,2,,,,1,9,3,,1,,5
Syria,Goodkind,Sadie,555-555-5555,,true,,,,,,,,,,,,,,,
Syria,Goodkind,Tess,555-555-5555,,true,1,,,,2,1,3,,,1,,,,,
Syria,Smith,Shelby,555-555-5555,,false,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
Venezuela,Mouser,Zoe,555-555-5555,,false,3,3,0,0,1,2,3,2,1,0,2,0,1,1,1
Venezuela,Savonarna,Juliette,555-555-5555,,false,5,,,,1,,3,1,,3,,,,1,
Syria,Adams,Keegan,555-555-5555,,false,,1,1,,1,1,1,2,,2,1,2,1,1,
Sudan,Dominant,Alexander,555-555-5555,,false,2,4,3,,,,5,,1,3,1,,,,1
Sudan,Hunting,Owen,555-555-5555,,false,,2,,,,,2,,,,1,,,1,1
Sudan,Strong,Thaddeus,555-555-5555,,false,,6,3,,,1,,,,,,,,1,
Sudan,Tosser,Andre,555-555-5555,,false,,,,,,,,,,,,,,,
Sudan,Pointer,William,555-555-5555,,false,2,,2,,,,7,4,,,,,,,
Sudan,Johnson,Hari,555-555-5555,,false,3,3,,,,3,,,,,,,,,
Sudan,Caldin,Michael,555-555-5555,,false,,1,,,,,,,1,,1,,,,1
Sudan,Tatum,Tim,555-555-5555,,false,,2,,,,,3,,,5,,,2,,
Sudan,Ari,Dylan,555-555-5555,,false,4,2,,,,,,,,2,5,2,,2,
Sudan,Foster,Pace,555-555-5555,,false,1,,,,1,1,1,1,,1,,,,,
Sudan,Keeger,Daniel,555-555-5555,,false,,2,,,,,2,2,2,,,,,,
Sudan,Lyons,Julian,555-555-5555,,false,1,,1,1,,,1,,,1,,1,1,,
Sudan,Manny,Maximilian,555-555-5555,,false,3,2,,1,,,,,,1,1,1,2,5,
Sudan,McDonald,Cort,555-555-5555,,false,3,3,2,2,,,,,,1,1,,,,3
Sudan,Market,Maximilian,555-555-5555,,false,1,3,,,1,,,,3,1,2,1,,2,2
Sudan,Campion,Adam,555-555-5555,,false,2,2,1,,1,,1,2,2,2,1,2,2,1,1
Sudan,Belkechi,Luke,555-555-5555,,false,,1,,1,,,1,1,,3,,,,1,1
Sudan,Sully,Brendan,555-555-5555,,false,,,,,,,,,,4,5,4,5,5,4
Sudan,Song,Justin,555-555-5555,,false,1,1,1,2,,3,1,1,1,,,,,,
Sudan,Tsu,Lucas,555-555-5555,,false,4,,,,1,,,,,,,,,,
Sudan,Venturi,Josh,555-555-5555,,false,,,,,,,,,,,,,,,
Sudan,Vigo,Peter,555-555-5555,,false,,1,,,,1,1,,1,,,,1,,
Sudan,Simeone,Ashlyn,555-555-5555,,true,,,1,,,,,,,,2,1,,1,3
Venezuela,Venturi,Colin,555-555-5555,,false,1,,1,1,,,1,,1,,,,,,
Venezuela,Thoms,Luke,555-555-5555,,false,6,12,3,1,5,2,9,4,5,12,4,4,4,4,5
Venezuela,Whittaker,Blake / Casey,555-555-5555,,false,3,12,2,1,1,1,7,1,11,2,1,1,2,4,3
Malaysia,Benny,Henry,555-555-5555,,false,1,2,1,1,,,3,,,5,1,,,,1
Syria,Jones,Chloe,555-555-5555,,false,3,3,,,,3,1,,,,1,,1,2,
Syria,Darien,Sophie,555-555-5555,,false,2,,,,1,,2,,,5,3,2,,,1
Malaysia,Typping,Will,555-555-5555,,false,2,3,,1,,2,,1,,1,,,,,7
Malaysia,Talamadge,Christopher,555-555-5555,,false,,1,,,,,,,1,,1,,1,2,6
Malaysia,Dessi,George,555-555-5555,,false,1,,,,,,,,,3,,,,,
Malaysia,Holmes,Ian,555-555-5555,,false,,4,,,,,1,1,,,,,,,1
Venezuela,Sayers,Ben,555-555-5555,,false,4,1,,,,,,,,,,1,2,,
Venezuela,Swift,Ethan,555-555-5555,,false,,1,,,,,1,,7,1,,2,1,,2
Venezuela,Escado,Gonzalo,555-555-5555,,false,3,1,2,,,,,2,0,2,4,,,,
Venezuela,Moss,Eric,555-555-5555,,false,,3,,,,,,1,2,3,,1,,,5
Venezuela,Gibbons,Max,555-555-5555,,false,,2,,,,,,1,2,,,,,,2
Malaysia/Syria,Milken,Erick/Claudia,555-555-5555,,false,3,,2,1,2,3,,,,,,,,,
Malaysia,Hung,Charles,555-555-5555,,false,3,4,2,,2,,2,,,1,1,,1,,
Malaysia,Goody,Eric,555-555-5555,,false,,,1,,,,1,,1,1,1,,1,1,5
Malaysia,Baker,Dukes,555-555-5555,,false,,2,,2,,2,2,1,1,,2,,,,2
Malaysia,Aronstein,Michael,555-555-5555,,false,1,1,1,,,,,,,4,1,1,3,1,2
Malaysia,Crenshaw,James,555-555-5555,,false,1,1,,,,,1,2,,,1,,,1,2
Malaysia,Ivy,Ian,555-555-5555,,false,1,,1,,,,1,,,,,,,,
Malaysia,Ford,Lachlan,555-555-5555,,false,,,1,,,,,1,,,,,,1,1
Malaysia,McDougall,Joe,555-555-5555,,false,1,5,1,,2,1,4,4,4,2,2,,2,2,3
Malaysia,Thomas,Dylan,555-555-5555,,false,,,1,1,,,,,2,8,,,1,,
Malaysia,Trusome,George,555-555-5555,,false,1,2,1,0,2,0,2,1,6,3,1,1,1,1,1
Malaysia,Smyth,Max,555-555-5555,,false,2,1,,,,,2,,4,1,1,,2,1,1
Malaysia,Simoneau,Andrew,555-555-5555,,false,8,,,,,,,,,,1,,,1,
Malaysia,Griffin,Matthew,555-555-5555,,false,3,1,,,1,,2,,,,1,,,,
Malaysia,Herbert,Josh,555-555-5555,,false,,,,,,,2,,,,,,,,
