location,lastName,firstName,phone,saline_bags,iv_supplies,tape,gauze, bandages_2x2,bandages_4x4,bandages_6x9,benznidazole,aspirin,gluscose,albuterol,Fexinidazole,rifampicin,ASMQ,NECT
HPG,Whimsey,Josephine,555-555-5555,,4,,,1,1,1,1,,4,,,3,1,2
HPG,O'Ryan,Merel,555-555-5555,,5,,,2,,,1,1,2,,1,1,1,
JVB,Pittance,Grant,555-555-5555,0,6,,2,,,,,,4,,,,,4
HPG,Daivs,Ellie,555-555-5555,1,1,,1,1,,2,,,1,,,,,
JVG,Foucher,Kadence,555-555-5555,4,3,1,0,0,3,7,4,1,6,3,1,4,3,4
HPG,Lovely,Britney,555-555-5555,1,3,1,1,1,,1,,2,3,,,,,
HPG,Mansion,Jax,555-555-5555,1,8,,1,4,1,5,2,2,4,3,,2,5,3
HPG,O'Myron,Jillian,555-555-5555,3,,,1,1,1,1,1,,2,2,1,2,2,2
HPG,Plummage,Lily,555-555-5555,,2,,2,3,1,1,1,,2,,,,,
HPG,Pritcchi,Holly,555-555-5555,0,3,4,0,1,0,3,0,1,0,2,0,4,3,1
HPG,Zeitz,Lexy,555-555-5555,,,,,,,2,,1,,,,1,1,1
HPG,Stillness,Kaitlyn,555-555-5555,,7,1,,1,,2,1,,5,,1,2,4,3
JVB,Simon,Leyton,555-555-5555,,1,1,3,,,,,,,,,,,2
HPG,Tongusan,Ava,555-555-5555,,2,,3,,,,,,,,,,,2
HPB,Tongusan,Tre,555-555-5555,1,,,,,3,1,,,,,,,,2
HPG,Strenk,Denise,555-555-5555,,1,1,1,,,2,,,,,,,,
HPG,Fullsonme,Julia/Claire,555-555-5555,,1,2,,2,,,,1,9,3,,1,,5
HPG,Goodkind,Sadie,555-555-5555,,,,,,,,,,,,,,,
HPG,Goodkind,Tess,555-555-5555,1,,,,2,1,3,,,1,,,,,
HPG,Smith,Shelby,555-555-5555,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
JVG,Mouser,Zoe,555-555-5555,3,3,0,0,1,2,3,2,1,0,2,0,1,1,1
